Size	Run	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Node:28	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27	Seq:28	
7	7	2695302	1231274	1010205	1048038	1254839	2002519	4756434																						39849329	12526374	7866364	7198714	7499635	10550153	86676933																					
7	8	2296890	1297139	1003702	1013166	1283942	1697619	5039790																						34005143	13510547	8312005	6899624	8052384	8775553	88108161																					
7	9	2687746	1166089	946508	1015831	1224151	2051132	4811041																						40363481	11193204	7105406	6944245	7401477	10974722	86902396																					
7	10	2194573	1203127	878381	966533	1070257	1660771	5365555																						30989580	12057101	7310291	6786879	6388588	8802415	90316805																					
7	11	2539926	1098545	920018	930996	1123761	1982806	5074407																						35937763	10323165	7356105	6471856	6826646	10923309	88433288																					
7	12	2669203	1299346	1042987	1050679	1237628	1961998	4719693																						37367672	13605043	8309006	6976343	7319061	10489730	86180637																					
7	13	2526443	1159950	967843	971311	1145376	1885855	5079839																						37285237	11192880	8082788	6624238	6932688	9845614	88692575																					
7	14	2897832	1204358	1019205	1068889	1225181	2078007	4646279																						43344371	11411669	8003004	7276858	7157701	11061171	85907807																					
7	15	2706695	1288505	1026702	1014562	1222151	1975521	4767479																						38797291	13117993	8396361	6832063	7161678	10347420	86717378																					
7	16	2746182	1199720	984015	996065	1230070	1956803	4873791																						40038451	12396166	7781258	6570560	7583787	10280332	87389352																					
7	17	2644603	1184219	940611	967340	1182279	1964451	4948983																						40224422	11458701	7450627	6451069	7132417	10397637	87928334																					
7	18	2443428	1173523	936623	902838	1134499	1825709	5157084																						34914992	11713603	7784248	6135177	6952456	9511440	89167918																					
7	19	2696642	1169986	961079	1020341	1234088	2024355	4808887																						38344124	11335856	7464411	7065807	7348715	10921674	86984242																					
8	0	2647767	1161047	931235	848445	969119	1179835	1907798	4609687																					39553397	12171475	8259664	6126843	6275406	6983275	10031599	85810627																				
8	1	2628639	1201948	904069	892648	945817	1162926	1902974	4606222																					39505557	12879558	7358881	6429465	6136561	6823059	9814871	86080357																				
8	2	2527890	1212226	952799	857060	889481	1063131	1845142	4725409																					38554404	12927638	8242169	6828325	5725800	6093524	9777211	86475881																				
8	3	2820784	1208828	928021	881302	1004888	1210739	1989675	4396086																					43008858	13283561	8079590	6180335	6417572	7218441	10311877	84603227																				
8	4	2427580	1082721	815895	782810	885858	1063026	1822648	4958123																					36892561	11244691	6513461	5706878	5946424	6214266	9633132	88158206																				
8	5	2699013	1106818	840287	802044	899825	1115984	1913213	4756199																					41284663	11344525	6819433	5764999	5956987	6612554	9806694	87065077																				
8	6	2644949	1190321	861147	842628	876006	1160016	1904986	4666712																					39777384	12586183	7614857	6189557	5586765	6840339	9981346	86222110																				
8	7	2734906	1168576	898362	870711	956546	1167220	1962796	4557142																					42329158	12063538	7679345	6210788	6209091	6731876	10345727	85611034																				
8	8	2694861	1174766	871622	827650	905238	1147265	1920228	4670503																					38598410	12492675	7388633	6100624	5798950	6797192	10096227	86248882																				
8	9	2874339	1180192	891070	848802	950599	1158855	2004766	4500082																					42912141	12360524	7562315	6077364	6234724	6632243	10350587	85401591																				
8	10	2313565	1247867	908269	831596	887437	1115211	1733418	4834399																					33919624	13507150	7933773	6191360	5745710	6522334	9266731	86984232																				
8	11	2448537	1122079	845995	770347	871301	1041263	1771912	4958471																					36169784	11845864	7436071	5554283	5887867	6058930	9502574	87852969																				
8	12	2477571	1118049	861695	801893	883136	1114469	1796107	4878003																					38444838	12048969	7367795	5756679	5786020	6662040	9291896	87584209																				
8	13	2740690	1234420	907379	842170	986524	1156217	1953188	4500338																					41667869	13823461	7737110	6017970	6385308	6736282	10208855	85104408																				
8	14	2565064	1181928	938362	859759	891151	1137987	1839050	4690128																					37278277	12717664	8111742	6260804	5596215	6553951	9662524	86400595																				
8	15	2854282	1159424	901100	868294	972610	1186140	2025164	4457911																					40948313	12137109	7485377	6220768	6341143	6870460	10661319	85038463																				
8	16	2645955	1254137	947447	836819	979014	1184219	1849832	4593626																					40884897	13477484	8374003	5745007	6335000	6884279	9675159	85769090																				
8	17	2518460	1156702	862285	850052	923685	1116353	1846949	4747185																					37963789	12419863	7578657	6179590	6090722	6487101	9850675	86562885																				
8	18	2784955	1177637	938816	865784	955732	1200642	1959939	4496574																					44087894	12585657	7883556	6265838	6098466	7057252	10230458	85273420																				
8	19	2629251	1114338	873519	847428	903182	1160596	1913654	4679175																					40222165	11548280	7198273	6265912	5807328	6861543	10195789	86215496																				
9	0	2870359	1172379	831152	776259	801698	927252	1149333	1947978	4231896																				43636488	13086678	7234545	5706817	5456274	5961384	6544692	9852365	83959658																			
9	1	2501283	1089480	819941	711945	721066	801348	1022890	1769267	4753129																				40036347	12245831	7713467	5315162	4856768	5048903	5883954	9319171	86915629																			
9	2	2889505	1102353	851263	776892	802590	888438	1144403	1989742	4271265																				43036237	11738018	8025782	5885115	5537693	5473238	6547324	10225519	84241834																			
9	3	2504943	1141271	871899	807327	742554	815925	1054841	1785301	4553881																				40928291	12560772	7995204	7018428	4973922	5093969	6054352	9454957	85396849																			
9	4	2536311	1115636	794505	717965	726278	849055	1085205	1777855	4639470																				39388359	12383703	7159417	5441742	4949617	5446420	6373772	9092131	86275845																			
9	5	2528791	1046591	769854	705343	739630	772272	1024738	1849912	4716620																				38284898	11691845	6713337	5422833	5299193	4838054	5923871	9792624	86740629																			
9	6	2604589	1151722	846817	772616	769737	840473	1053209	1801634	4530953																				40980955	12788962	8002051	6141466	5205793	5197087	6046727	9411801	85389705																			
9	7	2735462	1138242	846741	737748	752306	863275	1095130	1887979	4424174																				42446922	12921496	7533196	5748041	5079657	5459831	6334322	9712179	84908414																			
9	8	2519652	1128492	810271	736229	752930	823495	1060767	1781055	4629000																				39524816	12427595	7627317	5621672	5210047	5135309	6049001	9043758	86341284																			
9	9	2190077	1076104	761630	701401	696648	780357	1045963	1583750	5012838																				36168362	12328519	6580781	5560197	4780048	4755044	6212424	8288416	88465625																			
9	10	2842368	1192760	870013	819618	835729	918406	1128295	1899600	4207324																				42625818	13864666	7680732	6293157	5676942	5747102	6351287	9680614	83600349																			
9	11	2462021	1097853	858018	727507	730873	838529	1013813	1755293	4673737																				38962862	12321155	8005126	5791161	4763521	5394294	5740779	9220515	86277573																			
9	12	2667109	1087092	783167	716129	717045	821127	1079403	1875377	4597750																				42278790	12135233	6830792	5369632	4893962	5123122	6221341	9738872	86037644																			
9	13	2599380	1102783	790119	733743	748224	827333	1073121	1825768	4596972																				39303677	11823551	6992976	5581871	5212457	5119576	6194962	9200994	86234230																			
9	14	2710356	1199938	836104	755657	760472	866016	1091126	1880406	4427265																				42649955	13610537	7803543	5889027	5171161	5506965	6250669	9623950	85020022																			
9	15	2640002	1113577	788714	718820	750418	867193	1048069	1794314	4595465																				40317647	12327570	6924490	5613770	5318583	5664556	5892036	9150431	86081483																			
9	16	2689257	1088450	831139	744558	763243	852110	1082088	1877414	4504993																				44169486	12146044	7488911	5694391	5275878	5359333	6209180	9623764	85550886																			
9	17	2623729	1130262	860314	735911	753894	854974	1051751	1818407	4544087																				39863389	12648040	8077163	5700836	5091768	5308369	6033900	9617761	85473067																			
9	18	2235685	1128271	864711	743439	669093	769540	971801	1606911	4925546																				35255081	12057121	8177413	6150958	4573977	5125932	5567961	8532917	87688543																			
9	19	2149302	1089014	788186	717586	739229	785128	985320	1581783	4968024																				32157374	12182570	7407241	6201364	5172157	4985241	5733878	8472288	87863443																			
