Annotation	Freq	Accession	Assembly	Annotation2
45S rDNA	2	9905	Chromosome scaffolds	45S
5S rDNA	8	9905	Chromosome scaffolds	5S
Centromere	10	9905	Chromosome scaffolds	centromere
Other repeat	3	9905	Chromosome scaffolds	repeat_region
Telomere	8	9905	Chromosome scaffolds	telomere
None	5	9905	Chromosome scaffolds	NA
45S rDNA	2	9981	Chromosome scaffolds	45S
5S rDNA	4	9981	Chromosome scaffolds	5S
Centromere	9	9981	Chromosome scaffolds	centromere
Telomere	9	9981	Chromosome scaffolds	telomere
None	2	9981	Chromosome scaffolds	NA
45S rDNA	2	10002	Chromosome scaffolds	45S
5S rDNA	2	10002	Chromosome scaffolds	5S
Centromere	8	10002	Chromosome scaffolds	centromere
Transposable element	2	10002	Chromosome scaffolds	ClassI_LTR
Telomere	8	10002	Chromosome scaffolds	telomere
None	2	10002	Chromosome scaffolds	NA
45S rDNA	2	10015	Chromosome scaffolds	45S
5S rDNA	5	10015	Chromosome scaffolds	5S
Centromere	12	10015	Chromosome scaffolds	centromere
Telomere	8	10015	Chromosome scaffolds	telomere
None	3	10015	Chromosome scaffolds	NA
45S rDNA	1	10024	Chromosome scaffolds	45S
5S rDNA	4	10024	Chromosome scaffolds	5S
Centromere	13	10024	Chromosome scaffolds	centromere
Plastid	2	10024	Chromosome scaffolds	chloroplast
Transposable element	3	10024	Chromosome scaffolds	ClassI_LTR
Transposable element	2	10024	Chromosome scaffolds	ClassII_Helitrons
Transposable element	2	10024	Chromosome scaffolds	ClassII_TIR
Other repeat	1	10024	Chromosome scaffolds	repeat_region
Telomere	9	10024	Chromosome scaffolds	telomere
None	7	10024	Chromosome scaffolds	NA
45S rDNA	2	22001	Chromosome scaffolds	45S
5S rDNA	6	22001	Chromosome scaffolds	5S
Centromere	14	22001	Chromosome scaffolds	centromere
Transposable element	1	22001	Chromosome scaffolds	ClassI_LTR
Telomere	8	22001	Chromosome scaffolds	telomere
None	3	22001	Chromosome scaffolds	NA
45S rDNA	2	22002	Chromosome scaffolds	45S
5S rDNA	4	22002	Chromosome scaffolds	5S
Centromere	15	22002	Chromosome scaffolds	centromere
Transposable element	1	22002	Chromosome scaffolds	ClassII_Helitrons
Other repeat	3	22002	Chromosome scaffolds	repeat_region
Telomere	8	22002	Chromosome scaffolds	telomere
None	3	22002	Chromosome scaffolds	NA
45S rDNA	2	22003	Chromosome scaffolds	45S
5S rDNA	4	22003	Chromosome scaffolds	5S
Centromere	7	22003	Chromosome scaffolds	centromere
Transposable element	2	22003	Chromosome scaffolds	ClassI_LTR
Telomere	8	22003	Chromosome scaffolds	telomere
None	5	22003	Chromosome scaffolds	NA
45S rDNA	2	22004	Chromosome scaffolds	45S
5S rDNA	5	22004	Chromosome scaffolds	5S
Centromere	9	22004	Chromosome scaffolds	centromere
Other repeat	2	22004	Chromosome scaffolds	repeat_region
Telomere	8	22004	Chromosome scaffolds	telomere
None	2	22004	Chromosome scaffolds	NA
45S rDNA	2	22005	Chromosome scaffolds	45S
5S rDNA	5	22005	Chromosome scaffolds	5S
Centromere	13	22005	Chromosome scaffolds	centromere
Telomere	8	22005	Chromosome scaffolds	telomere
None	2	22005	Chromosome scaffolds	NA
45S rDNA	2	22006	Chromosome scaffolds	45S
5S rDNA	6	22006	Chromosome scaffolds	5S
