group	AraportID	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed.S	N_acc_where_expressed.R	N_acc_where_expressed.F	N_acc_where_expressed.P
AT1SG10002631	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002632	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002634	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	1	1
AT1SG10002635	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002636	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	1	0
AT1SG10002637	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10002638	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002639	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002640	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	6	0
AT1SG10002642	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002660	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	0	0
AT1SG10002661	NA	FALSE	FALSE	FALSE	FALSE	TRUE	7	0	0	0
AT1SG10002672	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2	2	2
AT1SG10002692	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002698	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002701	NA	FALSE	FALSE	FALSE	FALSE	TRUE	15	14	13	14
AT1SG10002706	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002709	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	0
AT1SG10002711	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002712	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	0
AT1SG10002714	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002729	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002754	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	1
AT1SG10002783	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0	0
AT1SG10002804	NA	FALSE	FALSE	TRUE	FALSE	FALSE	0	1	13	0
AT1SG10002812	NA	FALSE	FALSE	TRUE	FALSE	FALSE	2	5	2	6
AT1SG10002815	NA	FALSE	FALSE	TRUE	FALSE	FALSE	16	1	2	0
AT1SG10002829	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002847	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002858	NA	FALSE	FALSE	FALSE	FALSE	FALSE	5	5	5	5
AT1SG10002872	NA	TRUE	FALSE	TRUE	FALSE	FALSE	23	20	23	0
AT1SG10002882	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10002884	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	4	2	0
AT1SG10002888	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002889	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	0	0
AT1SG10002929	NA	TRUE	FALSE	TRUE	FALSE	FALSE	23	25	23	0
AT1SG10002943	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0	0
AT1SG10002949	NA	TRUE	FALSE	TRUE	FALSE	FALSE	19	7	18	1
AT1SG10002963	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10002965	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10002966	NA	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	4	0
AT1SG10003003	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003005	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	1	1	0
AT1SG10003011	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003022	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	1	1	0
AT1SG10003030	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10003043	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003046	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10003050	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10003054	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003063	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	4	4	0
AT1SG10003064	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
AT1SG10003069	NA	FALSE	FALSE	FALSE	FALSE	TRUE	6	6	5	0
AT1SG10003070	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	0	0	0
AT1SG10003071	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	3	3	1
AT1SG10003072	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	4	4	1
AT1SG10003073	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	0	0	0
AT1SG10003093	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	0
